,State,Median House Price,Annual Average Wage,Average Hourly Wage,Total Tax Burden,Property Tax Burden,Individual Income Tax Burden,Total Sales & Excise Tax Burden,Mortgage Amount,Down Payment,FHA Rate as of 11/17/23,Mortgage Term,PMI (1.5%),Annual Home Insurance,Monthly Mortgage,Monthly Housing Payments,Monthly Individual Income,Monthly Tax Adjusted Income
0,Alabama,286000.0,50620.0,24.32,7.35,1.39,1.93,4.03,275990.0,10010.000000000002,6.70,30,26.7135,3607.1893,1780.9,2257.2901083333336,4218.333333333333,3208.8861666666667
1,Alaska,384000.0,66130.0,31.79,5.06,3.59,0.0,1.47,370560.0,13440.000000000002,6.70,30,35.86709999999999,2632.2111999999875,2391.14,3163.318033333332,5510.833333333333,4298.45
2,Arizona,443000.0,58620.0,28.18,7.62,2.35,1.23,4.04,427495.0,15505.000000000002,6.70,30,41.37795,2935.8219125,2758.53,3434.953526041667,4885.0,3750.2145
3,Arkansas,259000.0,48570.0,23.35,8.4,1.68,2.04,4.68,249935.0,9065.0,6.70,30,24.191699999999997,4567.5621249999995,1612.78,2180.7718770833335,4047.5,3074.481
4,California,799000.0,73220.0,35.2,8.89,2.79,3.05,3.05,771035.0,27965.000000000004,6.70,30,74.62979999999999,3296.9456600000003,4975.32,6160.649021666666,6101.666666666667,4573.199166666667
5,Colorado,582000.0,67870.0,32.63,8.28,3.05,2.04,3.19,561630.0,20370.000000000004,6.70,30,54.36105,4675.0081199999995,3624.07,4733.67756,5655.833333333333,4296.171
6,Connecticut,432000.0,69310.0,33.32,9.83,4.24,2.92,2.67,416880.0,15120.000000000002,6.70,30,40.35045,3064.0679999999998,2690.03,3672.59945,5775.833333333333,4336.495666666667
7,Delaware,335000.0,62260.0,29.93,6.12,1.88,3.15,1.09,323275.0,11725.000000000002,6.70,30,31.2903,1679.9524166666451,2086.02,2493.4813347222207,5188.333333333333,3883.4675
8,Florida,409000.0,55980.0,26.91,6.33,2.75,0.0,3.58,394685.0,14315.000000000002,6.70,30,38.2023,3191.686033333307,2546.82,3272.777386111109,4665.0,3638.7000000000003
9,Georgia,376000.0,58000.0,27.88,7.46,2.58,2.11,2.77,362840.0,13160.000000000002,6.70,30,35.119949999999996,3657.4272,2341.33,3045.0155499999996,4833.333333333333,3668.0166666666664
10,Hawaii,713000.0,61420.0,23.35,12.31,2.74,2.86,6.71,688045.0,24955.000000000004,6.70,30,66.597,1263.25062,4439.8,5344.275385,5118.333333333333,3845.9156666666668
11,Idaho,460000.0,51350.0,24.69,7.64,2.35,2.15,3.14,443900.0,16100.000000000002,6.70,30,42.965849999999996,3398.0545,2864.39,3595.902058333333,4279.166666666667,3245.747916666667
12,Illinois,295000.0,63930.0,30.73,9.38,3.66,2.27,3.45,284675.0,10325.000000000002,6.70,30,27.55425,3303.6533750000003,1836.95,2544.6961979166667,5327.5,4034.51575
13,Indiana,258000.0,53500.0,20.24,8.58,2.22,2.73,3.63,248970.0,9030.0,6.70,30,24.09825,3000.0885,1606.55,2095.440625,4458.333333333333,3355.7875
